satellite,fuel_cost_kg,revenue_usd
SAT-001,18.2,19372
SAT-002,14.09,29595
SAT-003,2.81,7107
SAT-004,3.18,44267
SAT-005,13.54,14290
SAT-006,14.32,27004
SAT-007,16.14,15476
SAT-008,8.06,4854
SAT-009,10.14,18177
SAT-010,7.59,29318
SAT-011,17.15,6235
SAT-012,0.73,22773
SAT-013,5.73,8915
SAT-014,0.61,29640
SAT-015,15.07,8031
SAT-016,10.03,46520
SAT-017,16.55,8870
SAT-018,7.24,35249
SAT-019,4.66,5380
SAT-020,15.96,34382
SAT-021,7.94,2793
SAT-022,15.47,48847
SAT-023,6.26,40857
SAT-024,17.67,8081
SAT-025,4.01,10184
SAT-026,19.7,35887
SAT-027,13.21,47858
SAT-028,5.95,7065
SAT-029,3.1,28335
SAT-030,15.48,35892
SAT-031,12.21,33786
SAT-032,3.12,6703
SAT-033,15.96,46493
SAT-034,7.21,6094
SAT-035,14.86,38876
SAT-036,2.42,30465
SAT-037,19.48,3900
SAT-038,1.32,14343
SAT-039,5.11,8077
SAT-040,5.26,49216
SAT-041,13.23,37626
SAT-042,16.67,46265
SAT-043,2.64,30700
SAT-044,5.82,4875
SAT-045,3.85,20888
SAT-046,10.34,9426
SAT-047,10.44,17028
SAT-048,13.7,22807
SAT-049,0.81,24526
SAT-050,18.13,3249
SAT-051,2.21,2637
SAT-052,0.44,15662
SAT-053,6.51,49453
SAT-054,5.06,4901
SAT-055,16.44,43896
SAT-056,12.17,44208
SAT-057,12.09,22263
SAT-058,5.27,37458
SAT-059,0.69,37183
SAT-060,18.35,14386
SAT-061,11.94,8616
SAT-062,1.29,35304
SAT-063,14.19,1876
SAT-064,10.35,25042
SAT-065,10.05,26808
SAT-066,7.21,19771
SAT-067,5.22,39021
SAT-068,10.96,35711
SAT-069,15.5,30720
SAT-070,19.78,48021
SAT-071,16.49,10580
SAT-072,8.9,42947
SAT-073,4.95,30034
SAT-074,17.17,33020
SAT-075,10.11,2437
SAT-076,7.36,9153
SAT-077,8.89,44695
SAT-078,13.35,49092
SAT-079,6.71,46637
SAT-080,13.32,25644
SAT-081,15.45,5531
SAT-082,17.13,18602
SAT-083,11.69,9873
SAT-084,17.41,30653
SAT-085,12.73,2384
SAT-086,12.59,12308
SAT-087,1.29,927
SAT-088,1.81,13134
SAT-089,1.64,43067
SAT-090,1.42,32278
SAT-091,10.81,48296
SAT-092,9.31,18001
SAT-093,5.97,47696
SAT-094,8.8,23512
SAT-095,5.96,20618
SAT-096,15.88,46608
SAT-097,6.14,31272
SAT-098,11.54,31543
SAT-099,17.59,10633
SAT-100,4.92,6533
SAT-101,4.87,27704
SAT-102,18.17,38055
SAT-103,4.65,8590
SAT-104,10.24,19673
SAT-105,4.12,46652
SAT-106,17.11,42377
SAT-107,11.57,32097
SAT-108,7.61,21020
SAT-109,2.47,12523
SAT-110,2.67,36083
SAT-111,0.81,38935
SAT-112,12.33,25305
SAT-113,8.28,22922
